순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
2,P002,파우치포장(#2),2021-03-10,2:15,2:34,19,W007911,설비,13A01072,명인쫄면소스(2kg),포장실
3,C002,쿠커 #2,2021-03-10,20:44,21:29,45,W0034B2,세부 세척,23D08057,(20년)멕시칸풍비프칠리소스(재),쿠킹실
5,C045,쿠커 #5,2021-03-16,15:20,15:27,7,W003444,점도이상,23A00688,초고추장E 200g(재),쿠킹실
5,D088,냉동밥 내포장#1,2021-03-17,21:54,0:00,-1314,W0054F1,품목 교체,1BA03202,강원나물밥200g(알밥),충전실
4,D088,냉동밥 내포장#1,2021-03-19,22:07,0:00,-1327,W0054F1,품목 교체,1BA03480,Homeplus signature 날치알이톡톡터지는날치알밥(알밥),충전실
2,D088,냉동밥 내포장#1,2021-03-24,14:12,14:37,25,W005722,공정,1BA03205,마왕갈릭라이스,충전실
1,C006,2동 쿠커 #3,2021-03-29,9:17,10:04,47,W003119,기타,26A03016,sias살사후실리샐러드(롯데마트)(재),쿠킹실
5,C096,2동 쿠커 #2,2021-04-06,18:00,18:37,37,W003444,점도이상,21501164,비프스파게티소스D(재),쿠킹실
12,C002,쿠커 #2,2021-04-08,18:37,19:34,57,W003711,기타,23A00702,마왕소스(매운맛)(재),쿠킹실
7,C008,프리머 #2,2021-04-08,14:49,14:52,3,W003711,기타,26B06061,천년풍미퓨어마요네즈1kg(재),쿠킹실
2,D013,마요네즈 수동,2021-04-14,11:00,11:17,17,W0058Z9,기타,16B03002,마요네즈-업소용10kg,충전실
3,D004,PET병,2021-04-26,10:45,12:24,99,W0056G7,밸브,13D02367,(연결링)(20년)아몬드&호두드레싱-N495g*2ea,충전실
1,D013,마요네즈 수동,2021-04-27,13:50,14:27,37,W0058Z9,기타,16B03005,마요네즈-P(현미유)/국산난황,충전실
3,D005,3.2마요,2021-05-05,14:10,14:26,16,W005817,라벨부착 오류,16B06099,맛있는골드마요네즈3.2kg,충전실
1,D005,3.2마요,2021-05-12,9:35,10:35,60,W005817,라벨부착 오류,16B06099,맛있는골드마요네즈3.2kg,충전실
6,D002,로타리 #1,2021-05-14,0:01,2:00,119,W005621,그립퍼,13R05021,핫페퍼소스1kg,충전실
3,D013,마요네즈 수동,2021-05-13,14:38,14:56,18,W005733,QA확인대기,16B03002,마요네즈-업소용10kg,충전실
1,P0F0,PET#2,2021-05-18,13:30,14:34,64,W0079AA,기타,13D02366,(기획세트)(20년)참깨&흑임자드레싱-N220g,포장실
5,D088,냉동밥 내포장#1,2021-05-26,5:21,6:00,39,W0054F1,품목 교체,1BA03249,NEW햄야채볶음밥300g,충전실
6,D088,냉동밥 내포장#1,2021-05-26,6:00,7:00,60,W005722,공정,1BA03249,NEW햄야채볶음밥300g,충전실
5,D088,냉동밥 내포장#1,2021-05-28,4:37,6:41,124,W0054F1,품목 교체,1BA03584,야채곱창볶음밥,충전실
3,D088,냉동밥 내포장#1,2021-06-04,8:48,10:40,112,W0054F1,품목 교체,1BA03513,(쿠팡)곰곰닭갈비볶음밥,충전실
5,D088,냉동밥 내포장#1,2021-06-05,0:13,2:41,148,W005722,공정,1BA03597,병아리콩잡곡밥 3kg(도시락용),충전실
1,P0F0,PET#2,2021-06-04,13:40,13:57,17,W007911,설비,13D02339,(20년)아몬드&호두드레싱-N225g,포장실
4,C045,쿠커 #5,2021-08-19,14:30,15:13,43,W003444,점도이상,23R04042,(쿠팡)DELICIOUS돈까스소스(재),쿠킹실
5,D002,로타리 #1,2021-08-19,15:11,16:45,94,W005621,그립퍼,13R08002,타르타르소스골드2kg,충전실
1,D013,마요네즈 수동,2021-09-01,8:56,11:26,150,W0058Z9,기타,13V00013,고구마베이스M,충전실
5,D088,냉동밥 내포장#1,2021-09-14,4:10,4:50,40,W005722,공정,1BA03192,굴소스라이스(3kg),충전실
1,D045,병(PET)12열충전,2021-09-24,10:02,10:55,53,W005817,라벨부착 오류,13D02238,오리엔탈드레싱-N 240g,충전실
5,D088,냉동밥 내포장#1,2021-09-25,23:39,0:30,-1389,W0054F1,품목 교체,1BA03679,(1)한그릇연근우엉밥(혼합미),충전실
8,D088,냉동밥 내포장#1,2021-10-01,10:32,13:03,151,W0054F1,품목 교체,1BA03339,굿프랜즈치즈불고기볶음밥,충전실
10,D087,냉동밥 내포장#2,2021-10-13,6:48,8:39,111,W0054G1,별도구작업,1BA03593,The 통통한 낙지볶음밥,충전실
2,D013,마요네즈 수동,2021-10-13,10:56,11:34,38,W005724,이송끊김,16B01006,시아스샐러드마요-2(자사용),충전실
3,D087,냉동밥 내포장#2,2021-10-13,20:27,22:46,139,W0054F1,품목 교체,1BA03573,감자탕볶음밥,충전실
2,D003,로타리 #2,2021-10-14,10:34,10:47,13,W005A11,기타,13A00701,마왕소스(순한맛),충전실
7,D088,냉동밥 내포장#1,2021-10-19,2:35,4:54,139,W0054F2,세부 세척,1BA03640,(1)게살볶음밥E,충전실
4,D087,냉동밥 내포장#2,2021-10-20,0:17,0:18,1,W0054F1,품목 교체,1BA03513,(쿠팡)곰곰닭갈비볶음밥,충전실
2,D0036,로타리 #5,2021-10-22,12:30,18:34,364,W005712,고장,16B06061,천년풍미퓨어마요네즈1kg,충전실
3,D084,2동 로타리#4,2021-10-25,9:46,11:49,123,W005713,수리,13A00725,샘표강된장양념,충전실
1,C045,쿠커 #5,2021-10-25,8:58,9:04,6,W003446,ph 이상,23U02003,유기아가베시럽665g/올가홀(재),쿠킹실
7,D088,냉동밥 내포장#1,2021-10-28,8:57,9:33,36,W0054F1,품목 교체,1BA03709,,충전실
1,D005,3.2마요,2021-10-28,10:50,11:06,16,W0058Z9,기타,16B06099,맛있는골드마요네즈3.2kg,충전실
7,D087,냉동밥 내포장#2,2021-10-28,14:15,14:35,20,W005722,공정,1BA03638,(1)Homeplus signature 날치알이톡톡터지는날치알밥(알밥),충전실
